LocusTag ;%
b0630;1.715923823
b0631;2.87816143
b0632;4.358799644
b0633;3.1823716
b0634;2.750974647
b0635;1.040678701
b0636;3.731023354
b0637;4.548184629
b0638;0.619312387
b0639;4.430922465
b0640;3.037426524
b0641;4.180988473
b0642;6.039262835
b0643;3.083692326
b0644;0.129716751
b0645;0.061965842
b0646;0.072900372
b0647;0.157642109
b0648;0.652394203
b0649;0.209800912
b0650;0.669228506
b0651;1.138120343
b0652;1.262395266
b0653;1.248084084
b0654;1.363406236
b0655;5.019147531
b0656;0
b0657;2.258317472
b0658;5.15218012
b0659;3.911028544
b0660;4.99672879
b0661;2.845391047
b0662;1.659391783
b0664;6.148043427
b0665;5.782312403
b0666;6.288247068
b0668;6.491709108
b0670;0
b0672;6.329550562
b0673;6.687793947
b0674;1.892206545
b0675;2.233535376
b0676;2.37625404
b0677;2.248236033
b0678;1.311463964
b0679;1.272386883
b0680;2.958994061
b0681;0.690118797
b0682;0.830060334
b0683;7.977552593
b0684;6.172184987
b0685;1.492913671
b0686;1.293734384
b0687;7.873984635
b0688;2.506857012
b0689;0.312992132
b0691;0.324724974
b0692;0.208607675
b0693;0.565556001
b0694;1.436137197
b0695;1.390046621
b0696;2.161968423
b0697;0.135152909
b0698;0.392380244
b0699;1.656015351
b0700;-0.28807464
b0702;0.098578997
b0703;0.395518132
b0704;0.294888538
b0705;0.085422766
b0706;0.079419256
b0707;2.984939428
b0708;1.489934077
b0709;1.994569265
b0710;4.454025916
b0711;2.708478433
b0712;2.429661445
b0713;2.410180332
b0714;1.984953871
b0715;0.722984156
b0716;0.122822896
b0717;0.303143347
b0718;0.61516584
b0719;0.116225822
b0720;10.40560166
b0721;7.746488629
b0722;9.686398132
b0723;11.50096147
b0724;4.751241733
b0726;10.55836568
b0727;13.24743663
b0728;15.41843954
b0729;7.430395422
b0730;1.390511193
b0731;0.356921084
b0732;0.366473162
b0733;3.852872342
b0734;4.757904775
b0735;1.462592048
b0736;4.026000978
b0737;2.651618026
b0738;2.751254422
b0739;3.059226817
b0740;9.356183695
b0741;13.18745453
b0742;7.626553885
b0743;13.61542793
b0744;13.14112246
b0745;10.93608282
b0746;13.71157451
b0747;14.28332236
b0748;12.7728293
b0749;13.75555795
b0750;4.308543379
b0751;3.148386408
b0752;0.657838755
b0753;2.356824464
b0754;10.68229825
b0755;5.589864628
b0756;3.472328015
b0757;5.260084577
b0758;1.474210036
b0759;3.214854847
b0760;1.255772718
b0761;1.775374349
b0762;1.858507017
b0763;1.302334493
b0764;0.783175347
b0765;0.517043906
b0766;1.503344092
b0767;3.891024695
b0768;0.216035383
b0769;0.328939992
b0770;0.191211174
b0771;0.404801478
b0772;4.309058753
b0773;1.81126495
b0774;4.148652476
b0775;3.958383993
b0776;1.337485165
b0777;1.405538008
b0778;1.487568513
b0779;2.847334741
b0780;1.155323505
b0781;3.820779306
b0782;4.705645916
b0783;4.635245915
b0784;4.392689124
b0785;3.026530058
b0786;3.848462218
b0787;0.109068391
b0788;0.39851466
b0789;0.945493659
b0790;1.168756344
b0791;1.276970761
b0792;0.591783351
b0793;1.434096319
b0794;0.52257828
b0795;1.300607256
b0796;0.696221554
b0797;1.010228971
b0798;0.593297076
b0799;0.605902372
b0800;2.361403924
b0801;4.645258883
b0802;1.335369189
b0803;0.518956678
b0804;0.508909842
b0805;0.839825187
b0806;3.033185737
b0807;1.662200568
b0808;0.544660556
b0809;4.939397185
b0810;4.155904515
b0811;10.16596777
b0812;14.0101303
b0813;0.578221669
b0814;11.72442
b0815;0.568739535
b0817;2.751497383
b0818;0.905058202
b0819;3.834657575
b0820;2.299030495
b0821;1.383702375
b0822;1.71503959
b0823;2.361860398
b0824;1.309321483
b0825;1.917659362
b0826;0.733588331
b0827;1.382827713
b0828;2.765117965
b0829;2.76103179
b0830;1.771778515
b0831;0.908796867
b0832;0.806149219
b0833;0.915762506
b0834;1.276458333
b0835;2.648157662
b0836;0.433701408
b0837;1.538322482
b0838;3.021015563
b0839;2.671717587
b0840;1.126997849
b0841;2.465921642
b0842;1.888958956
b0843;0.557999155
b0844;0.75896826
b0845;1.216267878
b0846;0.470432067
b0847;2.296871817
b0848;1.492424803
b0849;1.2565259
b0850;2.815698179
b0851;3.33645351
b0852;1.063843262
b0853;1.639231113
b0854;3.765597544
b0855;1.307771682
b0856;1.805880771
b0857;2.042819992
b0858;1.022978572
b0859;0.792024308
b0860;6.033203517
b0861;1.710513139
b0862;2.02606594
b0863;5.24181091
b0864;3.843212772
b0865;2.975066347
b0866;1.966186182
b0867;1.079407537
b0868;1.031397563
b0869;2.356822255
b0870;2.642768329
b0871;3.236581515
b0872;0.253112153
b0873;0.268992499
b0874;1.280718998
b0875;0.878192525
b0876;1.246931856
b0877;3.547940649
b0878;1.425725183
b0879;3.153157293
b0880;4.318269211
b0881;8.403111102
b0882;6.285714376
b0883;7.587481222
b0884;9.565314842
b0885;0.984879228
b0886;1.515946443
b0887;1.349147328
b0888;2.995011296
b0889;6.80799374
b0890;3.111824349
b0891;3.506070245
b0892;1.504023649
b0893;2.958994061
b0894;0.227007019
b0895;0.223343819
b0896;2.608157327
b0897;3.089435058
b0898;1.714773804
b0899;0.16991094
b0900;0.280692211
b0901;0.568634988
b0902;2.094639311
b0903;5.413062115
b0904;4.157163498
b0905;1.653611503
b0906;1.245134676
b0907;7.453933259
b0908;7.24708448
b0909;0.675735463
b0910;7.423283269
b0911;14.41773173
b0912;8.084816515
b0913;0.17495085
b0914;1.888650469
b0915;1.614507181
b0916;0.357770714
b0917;4.89059869
b0918;3.400543868
b0919;1.318905219
b0920;1.59440762
b0921;4.167066029
b0922;2.914598327
b0923;5.159895996
b0924;2.29312358
b0925;2.368449814
b0926;6.289881538
b0927;3.234998582
b0928;9.5195276
b0929;18.87496768
b0930;2.956144782
b0931;3.383529185
b0932;2.560021455
b0933;0.828294812
b0934;1.75182694
b0935;1.722927747
b0936;0.929645928
b0937;0.532450625
b0938;0.322997737
b0939;3.006783896
b0940;0.30836776
b0941;0.354754308
b0942;1.130402995
b0943;0.592699979
b0944;0.530970767
b0945;3.56093542
b0946;1.68767989
b0947;1.51323337
b0948;1.753004936
b0949;1.666976606
b0950;0.979502411
b0951;1.375883425
b0952;1.224465995
b0953;12.34227903
b0954;3.91868552
b0955;2.260842066
b0956;2.418603005
b0957;19.20436489
b0958;1.613395447
b0959;1.057371645
b0960;1.526300294
b0961;2.023113587
b0962;2.201714752
b0963;3.417801513
b0964;0.89701985
b0965;2.214671975
b0966;3.126836439
b0967;3.376608457
b0968;1.366739229
b0969;1.009418362
b0970;5.976114874
b0971;0.518707826
b0972;0.285482238
b0973;1.247566502
b0974;0.577301359
b0975;0.094555919
b0976;0.835485007
b0977;0.017276154
b0978;1.422385563
b0979;0.132821949
b0980;0.341192626
b0981;0.46082698
b0982;0.980058278
b0983;0.398304829
b0984;0.184070676
b0985;0.138027514
b0986;0.371670334
b0987;1.080310177
b0988;0
b0989;0.844557787
b0990;1.294073794
b0991;0.509925128
b0992;0.091569551
b0993;0.520708211
b0994;0.588456984
b0995;0.69035366
b0996;1.152307099
b0997;1.684301986
b0998;0.286006446
b0999;1.93023889
b1000;3.944881211
b1001;0.137521712
b1002;1.412310014
b1003;3.488702163
b1004;6.549865311
b1006;0.319418837
b1007;0.95038897
b1008;0.584325162
b1009;0.333473805
b1010;1.626532314
b1011;0.219759029
b1012;0.500071925
b1013;0.627961088
b1014;0.612985811
b1015;3.818298152
b1018;2.679109514
b1019;1.35035551
b1020;1.473076951
b1021;0.291978887
b1022;0.237219069
b1023;0.244094812
b1024;0.319950408
b1025;0.869403936
b1026;1.060611871
b1027;0
b1028;0.627172567
b1029;0.211248964
b1032;0
b1033;4.535661057
b1034;2.986080612
b1035;2.548639066
b1036;1.876175488
b1037;0.881616813
b1038;1.494454638
b1039;0.957153613
b1040;1.823137679
b1041;0.495310612
b1042;0.691780508
b1043;0.043161267
b1044;0.616171555
b1045;1.642694422
b1046;0.391697006
b1047;0.539896297
b1048;5.097160333
b1049;2.047077712
b1050;1.659031758
b1051;9.985704892
b1053;0.408406147
b1054;1.728345794
b1055;4.471408724
b1056;2.388350589
b1057;0.828470775
b1058;0.084732755
b1059;1.653070361
b1060;0.95867102
b1061;2.879994687
b1062;6.895474686
b1063;1.783359691
b1064;4.569550536
b1065;2.413526577
b1066;4.068364669
b1067;7.458085696
b1068;1.705273264
b1069;1.023263499
b1070;1.071666629
b1071;0.650973981
b1072;0.852490855
b1073;0.923973877
b1074;1.385671101
b1075;0.911846405
b1076;0.509710143
b1077;0.445415844
b1078;0.59601972
b1079;0.220456771
b1080;0.546472461
b1081;0.878347873
b1082;0.41845151
b1083;0.662558102
b1084;3.42106309
b1085;0.507650859
b1086;2.08496428
b1087;1.774958369
b1088;13.20435878
b1089;9.034333031
b1090;5.519619239
b1091;6.936851805
b1092;7.85137447
b1093;10.40820797
b1094;15.07832994
b1095;1.474669454
b1096;1.046894104
b1097;1.486588568
b1098;2.082891743
b1099;1.194206217
b1100;2.389778909
b1101;8.479688221
b1102;0.168146891
b1103;4.579975803
b1104;4.831993376
b1105;3.751527852
b1106;4.630224706
b1107;4.128486652
b1108;5.434722521
b1109;1.296334074
b1110;0.389446297
b1111;1.815075768
b1112;2.120419759
b1113;0.932050513
b1114;2.014686496
b1115;0.225945203
b1116;1.762314052
b1117;1.281563474
b1118;1.985788039
b1119;2.293810499
b1120;3.850347012
b1121;0.085930335
b1122;0.433809636
b1123;5.905339386
b1124;5.114314903
b1125;1.658635657
b1126;3.304434099
b1127;1.103619041
b1128;3.07478373
b1129;1.609638375
b1130;5.541309095
b1131;6.431380975
b1132;4.30221165
b1133;3.896281504
b1134;1.320408636
b1135;1.094527855
b1136;17.9671007
b1137;0.077194831
b1138;0.6483765
b1139;0.105556637
b1140;0.512476226
b1141;0.153170803
b1143;2.078318173
b1144;0.392124766
b1145;0.938122348
b1146;2.430851957
b1147;0.273454896
b1148;0.754876196
b1150;4.415726313
b1151;0.500364216
b1152;1.077297451
b1153;0.692144214
b1154;0.650052936
b1155;0.102079192
b1156;0.472288884
b1157;0.173360996
b1158;0.382911363
b1159;0.467989197
b1160;0.057332636
b1161;0.112490911
b1162;1.388964337
b1163;0.373658939
b1164;0.687967481
b1165;1.918369105
b1166;0.342647451
b1167;0.088860822
b1168;0.021505345
b1171;0.828045224
b1172;1.956921978
b1174;5.269641072
b1175;6.017587704
b1176;6.273382228
b1177;1.711677883
b1178;1.954870792
b1179;2.353079172
b1180;1.83893829
b1181;2.44067571
b1182;1.063907315
b1183;0.407402641
b1184;0.359877119
b1185;1.652602843
b1186;1.973982308
b1187;2.168686683
b1188;1.627630795
b1189;1.351345027
b1190;0.784488813
b1191;0.775832749
b1192;2.19947656
b1193;2.304982321
b1194;0.21291119
b1195;2.703324699
b1196;0.209684953
b1197;1.128545442
b1198;1.854118245
b1199;2.919288224
b1200;2.545355402
b1201;0.77033077
b1202;0.158637589
b1203;2.94026392
b1204;2.149218822
b1205;1.07007118
b1206;0.30713749
b1207;4.453981742
b1208;10.00879362
b1209;3.795018001
b1210;2.194583458
b1211;1.460438523
b1212;0.929651818
b1213;0.216747629
b1214;3.462550646
b1215;4.477445954
b1216;1.075072511
b1217;2.229268085
b1218;1.886565415
b1219;2.245479522
b1220;0.844157268
b1221;3.234527384
b1222;3.112464885
b1223;0.534100556
b1224;1.800978834
b1225;2.197068294
b1226;1.45326379
b1227;1.284085858
b1229;0.370713212
b1230;8.205060482
b1231;4.016172072
b1232;4.081469877
b1233;2.869782932
b1234;2.313511014
b1235;3.687327056
b1236;3.312694798
b1237;11.49003556
b1238;1.792609907
b1241;5.048840399
b1242;0.326558231
b1243;6.097823974
b1244;2.813165487
b1245;3.314027406
b1246;2.757114953
b1247;2.147436366
b1248;3.165563066
b1249;2.303888257
b1250;1.440469278
b1251;2.956203682
b1252;2.225868093
b1253;2.698745239
b1254;1.950872231
b1255;2.41537824
b1256;1.013367595
b1257;0.502542036
b1258;1.133271416
b1259;1.384789813
b1260;5.768809621
b1261;8.123064581
b1262;8.06360522
b1263;4.65187775
b1264;4.7498944
b1265;4.73594987
b1266;4.206536266
b1267;2.331762594
b1268;0.46985264
b1269;4.18980872
b1270;0.964800282
b1271;2.035612863
b1272;2.01076156
b1273;1.455456336
b1274;2.567295582
b1275;1.504912299
b1276;2.324627618
b1277;2.271279849
b1278;2.923533428
b1279;1.868507469
b1280;0.899892688
b1281;2.714846975
b1282;3.256504377
b1283;2.684336872
b1284;1.379985797
b1285;1.113602559
b1286;4.333980736
b1287;4.187114053
b1288;5.698026771
b1289;0.162883824
b1290;1.424759962
b1291;0.840682179
b1292;1.071648959
b1293;0.554028571
b1294;1.390970612
b1295;1.556012304
b1296;1.159216783
b1297;2.677857893
b1298;3.480515089
b1299;1.981807885
b1300;1.716937636
b1301;3.084509561
b1302;2.498861362
b1303;0.667723616
b1304;1.783244836
b1305;2.124976395
b1306;1.125463509
b1307;1.129198494
b1308;1.232035358
b1309;0.229208179
b1310;0.171573902
b1311;0.184281905
b1312;0.866925727
b1313;0.660257328
b1314;0.356545598
b1315;0.257689183
b1316;0.147683181
b1317;0.092276128
b1319;0.41377781
b1320;1.195225183
b1321;1.44429114
b1322;1.265871091
b1323;1.443554156
b1324;8.356418276
b1325;2.595589579
b1326;1.106194436
b1327;0.995678508
b1328;0.834443216
b1329;0.797796489
b1330;1.090856924
b1331;0
b1332;4.899286412
b1333;3.479609504
b1334;6.152416738
b1335;0.807634967
b1336;0.26571767
b1337;0.184505504
b1338;1.393016644
b1339;0.662947577
b1340;1.333725148
b1341;1.129071859
b1342;0.878495122
b1343;1.226242561
b1344;1.592668603
b1345;1.051195999
b1346;0.034474009
b1347;0.05364433
b1348;0.098994535
b1349;0.431297559
b1350;0.411115538
b1351;0.102542365
b1352;0.095273097
b1353;0.064264555
b1355;0.401964716
b1356;2.743457559
b1357;0.173528198
b1358;0.255246755
b1359;0.882109362
b1360;0.483989331
b1361;0.487987892
b1362;0.282019665
b1363;0.394743599
b1365;0.87579972
b1366;0.211953332
b1368;0.14395578
b1370;2.445096141
b1372;0.499692758
b1373;0
b1374;0.293131851
b1375;0.146216723
b1376;2.59603869
b1377;0.26253708
b1378;0.957518792
b1379;0.99193837
b1380;1.892288268
b1381;0.775321057
b1382;0.575125748
b1383;1.127670043
b1384;0.199397585
b1385;0.767927658
b1386;0.098128781
b1387;1.492168589
b1388;0.154983298
b1389;0.374947372
b1390;0.682670179
b1391;0.22783574
b1392;1.729413353
b1393;0.688511568
b1394;0.308740301
b1395;1.291114815
b1396;0.175212144
b1397;0.914816428
b1398;0.532734816
b1399;0.662980708
b1400;0.988919019
b1402;2.877704957
b1403;0
b1404;0
b1406;1.378803383
b1407;1.47564351
b1408;0.697029217
b1409;0.190084862
b1410;0.206114667
b1411;0.977201637
b1412;1.820577746
b1413;2.626607693
b1414;0.902868601
b1415;2.71967676
b1418;3.692605952
b1419;1.493948099
b1420;0.466856112
b1421;1.38859106
b1422;1.124476937
b1423;0.409458245
b1424;0.869793411
b1426;0.48141541
b1427;0.809466015
b1428;0.932878792
b1429;0.995141048
b1430;1.545952953
b1431;1.715884802
b1432;1.315733464
b1433;0.473276192
b1434;0.501596694
b1435;2.800671364
b1436;0.632623745
b1438;1.526183231
b1439;0.66146551
b1440;1.096454615
b1441;0.868385706
b1442;0.252906224
b1443;0.696154555
b1444;1.370946148
b1445;1.075394251
b1446;2.003032432
b1447;0.742239241
b1448;2.518209951
b1449;1.668832687
b1450;0.633720017
b1451;0.508870085
b1452;2.981346539
b1453;1.252154061
b1454;0.527176883
b1455;0.223175807
b1456;0.137393826
b1457;0.297942493
b1459;0.180805933
b1460;0
b1461;2.155521102
b1462;0.782902199
b1463;0.623076085
b1464;0.697489372
b1465;0.288332253
b1466;0.69526664
b1467;0.806583605
b1468;0.801015364
b1469;1.36146696
